Student ID,student_name,gender,grade,school_name,reading_score,math_score,,over
0,Paul Bradley,M,9th,Huang High School,66,79,,72.5
1,Victor Smith,M,12th,Huang High School,94,61,,77.5
2,Kevin Rodriguez,M,12th,Huang High School,90,60,,75
3,Dr. Richard Scott,M,12th,Huang High School,67,58,,62.5
4,Bonnie Ray,F,9th,Huang High School,97,84,,90.5
5,Bryan Miranda,M,9th,Huang High School,94,94,,94
6,Sheena Carter,F,11th,Huang High School,82,80,,81
7,Nicole Baker,F,12th,Huang High School,96,69,,82.5
8,Michael Roth,M,10th,Huang High School,95,87,,91
9,Matthew Greene,M,10th,Huang High School,96,84,,90
10,Andrew Alexander,M,10th,Huang High School,90,70,,80
11,Daniel Cooper,M,10th,Huang High School,78,77,,77.5
12,Brittney Walker,F,9th,Huang High School,64,79,,71.5
13,William Long,M,9th,Huang High School,71,79,,75
14,Tammy Hebert,F,10th,Huang High School,85,67,,76
15,Dr. Jordan Carson,M,11th,Huang High School,94,88,,91
16,Donald Zamora,M,9th,Huang High School,88,55,,71.5
17,Kimberly Santiago,F,9th,Huang High School,74,75,,74.5
18,Kevin Stevens,M,9th,Huang High School,64,69,,66.5
19,Brandi Lyons,F,9th,Huang High School,89,80,,84.5
20,Lisa Davis,F,10th,Huang High School,91,89,,90
21,Kristen Lopez,F,10th,Huang High School,90,77,,83.5
22,Kimberly Stewart,F,11th,Huang High School,99,84,,91.5
23,Christopher Parker,M,9th,Huang High School,81,68,,74.5
24,Chelsea Griffith,F,11th,Huang High School,85,73,,79
25,Cesar Morris,M,9th,Huang High School,92,70,,81
26,Melanie Decker,F,9th,Huang High School,63,85,,74
27,Tracey Oconnor,F,10th,Huang High School,80,58,,69
28,Kelly James,F,11th,Huang High School,73,55,,64
29,Nicole Brown,F,12th,Huang High School,90,88,,89
30,Bobby Harris,M,9th,Huang High School,94,99,,96.5
31,Brian Fernandez,M,10th,Huang High School,97,65,,81
32,Candace Phelps,F,11th,Huang High School,93,90,,91.5
33,Amy Gonzalez,F,12th,Huang High School,95,68,,81.5
34,Steven Green,M,11th,Huang High School,65,74,,69.5
35,Benjamin Carlson,M,10th,Huang High School,99,61,,80
36,Kevin Bailey,M,10th,Huang High School,76,76,,76
37,Jesse Newton,M,10th,Huang High School,63,66,,64.5
38,Kimberly Mercado,F,12th,Huang High School,73,77,,75
39,Gregory Roberts,M,9th,Huang High School,80,61,,70.5
40,Matthew Mayer,M,9th,Huang High School,79,69,,74
41,Jennifer Parks,F,11th,Huang High School,85,95,,90
42,John Carlson,M,9th,Huang High School,65,89,,77
43,Megan Roberts,F,9th,Huang High School,66,90,,78
44,Debra Flores,F,10th,Huang High School,75,66,,70.5
45,Heidi Jackson,F,11th,Huang High School,64,93,,78.5
46,Denise Bradford,F,12th,Huang High School,73,59,,66
47,Ellen Brown,F,11th,Huang High School,77,81,,79
48,Amy Perkins,F,9th,Huang High School,76,66,,71
49,Natalie Mitchell,F,10th,Huang High School,73,93,,83
50,Tiffany Gutierrez,F,10th,Huang High School,82,95,,88.5
51,Jennifer Hess,F,11th,Huang High School,91,56,,73.5
52,Christine Fletcher,F,12th,Huang High School,69,78,,73.5
53,Jon Smith,M,9th,Huang High School,96,69,,82.5
54,Tracey Yates,F,9th,Huang High School,83,68,,75.5
55,Jerry Gordon,M,12th,Huang High School,95,71,,83
56,Michael Cox,M,11th,Huang High School,72,72,,72
57,Madeline Snyder MD,F,9th,Huang High School,97,56,,76.5
58,Allison King,F,11th,Huang High School,74,84,,79
59,Theresa Meyer,F,9th,Huang High School,88,70,,79
60,Jared Wood,M,9th,Huang High School,63,89,,76
61,Eric Maynard,M,9th,Huang High School,64,95,,79.5
62,Mark Owens,M,11th,Huang High School,74,65,,69.5
63,Ronnie Conley,M,11th,Huang High School,77,61,,69
64,Kimberly Davis,F,12th,Huang High School,87,57,,72
65,Amy Mitchell,F,11th,Huang High School,74,60,,67
66,Mr. Dylan Taylor MD,M,10th,Huang High School,77,93,,85
67,Elizabeth Henderson,F,12th,Huang High School,70,60,,65
68,James Lopez,M,12th,Huang High School,65,82,,73.5
69,Michael Morgan,M,11th,Huang High School,75,89,,82
70,Angela Francis,F,12th,Huang High School,70,60,,65
71,Breanna Taylor,F,10th,Huang High School,93,68,,80.5
72,Jason Johnson,M,12th,Huang High School,82,65,,73.5
73,Kyle Martin,M,10th,Huang High School,72,94,,83
74,Dr. Scott Gill,M,10th,Huang High School,85,85,,85
75,Lisa Long,F,10th,Huang High School,87,62,,74.5
76,Erin Liu,F,9th,Huang High School,78,76,,77
77,Marcus Richards,M,12th,Huang High School,83,76,,79.5
78,Jason Thompson,M,12th,Huang High School,99,57,,78
79,Elizabeth Mckinney,F,9th,Huang High School,74,81,,77.5
80,Jessica Bailey,F,10th,Huang High School,67,70,,68.5
81,Lisa Frye,F,12th,Huang High School,94,73,,83.5
82,Lindsey Baker,F,11th,Huang High School,81,57,,69
83,Lisa Ramirez,F,12th,Huang High School,64,76,,70
84,Joseph Butler,M,10th,Huang High School,77,63,,70
85,Tina Lynch,F,10th,Huang High School,94,60,,77
86,Leah Benitez,F,10th,Huang High School,93,84,,88.5
87,Elizabeth Parker,F,10th,Huang High School,85,56,,70.5
88,Melissa Hunter,F,10th,Huang High School,90,70,,80
89,Miss Madison Everett,F,11th,Huang High School,70,78,,74
90,Ronald Garcia,M,9th,Huang High School,99,86,,92.5
91,Mark Cherry,M,10th,Huang High School,96,98,,97
92,Ryan Stokes,M,9th,Huang High School,75,72,,73.5
93,Isaiah Maldonado,M,10th,Huang High School,84,91,,87.5
94,Micheal Dennis,M,12th,Huang High School,86,61,,73.5
